Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,TractLOWI,LA1and10
0,2257,948,15.8,60179.0,908.0,0
0,2652,1039,20.2,51477.0,1348.0,1
0,4642,1230,12.4,62446.0,1358.0,0
0,3823,1538,16.0,56393.0,1324.0,1
0,2067,852,8.5,73616.0,449.0,0
1,2396,965,7.8,54922.0,1051.0,1
0,2542,989,12.4,74722.0,523.0,0
1,2049,900,26.3,41078.0,797.0,1
1,3518,1498,35.1,36971.0,2103.0,0
0,3361,1318,18.3,58837.0,1468.0,0
1,4351,1878,17.8,60357.0,1548.0,1
1,4893,1869,14.5,63064.0,1739.0,1
0,4387,2047,23.5,44940.0,2073.0,0
0,2696,1108,18.6,53909.0,1092.0,0
0,4034,1664,16.4,68750.0,1421.0,0
0,5492,2209,25.2,41719.0,2926.0,0
0,6753,2590,14.5,62708.0,2019.0,0
0,2550,1022,34.1,54423.0,1212.0,0
0,2327,926,17.2,66935.0,656.0,0
1,3791,1539,42.8,26862.0,2428.0,1
1,3150,1175,53.4,25191.0,2460.0,0
1,3811,1426,56.1,22868.0,2684.0,0
1,3811,1391,28.8,42375.0,1740.0,0
1,1855,771,12.9,75563.0,488.0,1
1,1602,666,40.8,29750.0,966.0,0
1,2789,1106,35.4,58056.0,1198.0,1
0,2804,1145,38.7,40000.0,1296.0,1
0,1274,535,22.0,31133.0,918.0,1
0,1345,561,28.3,37422.0,872.0,0
0,1754,669,22.8,34773.0,690.0,0
0,4204,1542,20.6,32333.0,2637.0,0
0,5937,2328,13.4,56198.0,2272.0,0
0,3530,1431,19.9,40785.0,1576.0,0
0,6908,2742,25.6,41737.0,4012.0,0
0,6483,2532,14.0,52609.0,2502.0,0
0,5373,2154,11.6,53707.0,2097.0,0
0,6393,2449,27.2,39014.0,3267.0,0
0,8628,2756,28.8,42917.0,5369.0,0
0,4498,1528,31.4,39156.0,2539.0,0
0,3809,1477,26.4,39250.0,2007.0,0
0,3914,1555,16.1,43393.0,1950.0,0
0,3258,1231,23.8,49306.0,1255.0,0
0,2107,828,2.4,84211.0,592.0,0
0,5967,2169,29.9,50676.0,3478.0,0
0,4304,1662,24.2,47179.0,1923.0,0
0,10104,2430,10.4,54953.0,2394.0,0
0,4757,1891,11.9,65663.0,1102.0,0
0,2464,1105,7.8,99464.0,510.0,0
0,7712,2948,16.3,61559.0,2312.0,0
0,4695,1831,7.4,68346.0,1196.0,0
0,7405,2410,21.1,72679.0,1778.0,0
0,6257,2299,3.2,95909.0,533.0,0
0,3678,1437,3.4,95000.0,488.0,0
1,5784,2308,9.7,61823.0,1644.0,1
1,6234,2051,1.5,92500.0,1039.0,1
0,3699,1319,16.8,51659.0,1431.0,0
1,6516,2476,25.1,58750.0,3201.0,1
1,4221,1542,9.4,83010.0,1080.0,1
0,1809,646,24.6,47202.0,808.0,0
0,3968,1608,21.8,59202.0,1779.0,0
0,5955,2373,20.2,42191.0,2732.0,1
0,4361,1780,14.7,49111.0,1526.0,0
0,4516,1840,13.7,63576.0,1157.0,0
1,1739,655,47.4,25938.0,1063.0,1
0,3632,1460,30.6,39030.0,2030.0,0
0,5744,1108,18.9,57012.0,1420.0,1
0,4819,1923,29.9,45743.0,2437.0,0
0,4035,1548,37.8,31518.0,2568.0,0
1,3518,1470,18.4,45606.0,2200.0,1
1,3660,1445,29.4,34452.0,2079.0,1
1,2684,1171,38.6,22320.0,1831.0,0
1,3866,1638,14.8,76362.0,955.0,1
1,1814,772,32.7,31985.0,1190.0,1
1,1964,807,30.3,28220.0,1243.0,1
1,1376,547,55.5,18000.0,904.0,1
1,1089,409,42.2,40563.0,795.0,0
1,2698,1056,19.5,35918.0,1301.0,1
1,1286,504,43.3,31250.0,1031.0,0
1,4729,1957,2.8,93507.0,829.0,1
1,3546,1448,19.8,78750.0,1128.0,0
1,2571,1076,38.0,30000.0,1842.0,0
1,3524,1396,28.7,53949.0,1325.0,1
1,1638,830,27.0,40000.0,803.0,1
0,2059,831,18.8,53313.0,876.0,0
1,5518,2176,5.4,46941.0,2064.0,1
0,2918,1165,15.2,53774.0,1068.0,0
1,3471,1557,23.6,46085.0,1874.0,1
0,5504,2253,5.7,71641.0,1284.0,0
1,8191,3160,6.9,83358.0,1597.0,1
1,4988,2041,4.5,72138.0,630.0,1
1,5295,2168,10.2,67179.0,1396.0,1
0,3984,1563,12.0,52237.0,1254.0,0
1,3769,1468,11.0,55147.0,1312.0,1
0,2953,1118,13.9,60133.0,1143.0,0
0,1721,654,13.9,56250.0,573.0,0
0,4613,1771,16.2,52353.0,2070.0,0
0,4765,1818,11.6,53198.0,1638.0,0
0,5302,2040,23.2,62969.0,2261.0,0
1,2934,1197,33.2,31681.0,1455.0,0
0,1469,608,20.6,48272.0,712.0,0
0,3669,1475,15.0,51672.0,1303.0,0
0,4499,1802,13.0,56713.0,1353.0,0
0,4054,1762,26.1,34208.0,2378.0,0
0,3550,1453,25.8,53380.0,1718.0,0
0,4008,1567,16.0,56833.0,1711.0,0
1,5373,2000,24.9,46392.0,2628.0,1
0,2378,921,9.6,56250.0,988.0,0
1,3919,1410,27.1,48802.0,1834.0,1
0,3452,1235,25.4,50035.0,1386.0,0
0,2652,1155,34.9,46806.0,1413.0,0
0,2231,921,11.3,48406.0,964.0,0
0,1795,717,12.7,49423.0,665.0,0
0,5896,2360,14.9,43262.0,3125.0,0
0,5098,2109,31.3,40135.0,2758.0,0
0,2323,967,13.4,72800.0,695.0,0
1,5412,2213,33.2,40282.0,2613.0,1
0,5907,2420,19.9,50434.0,2422.0,0
0,4288,1712,24.8,50341.0,1943.0,0
